CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
50001,0,8,Mobile Phone,3,6,E wallet,Male,3,3,Fashion,4,Divorced,2,0,13,1,1,6,173,3,37.5,0,0,18,607.5,0,0.010526316,361.7637419,0,Nov,2,2,3,2,Returning_Visitor,FALSE
50002,0,9,Mobile Phone,3,12,E wallet,Male,2,3,Laptop & Accessory,3,Divorced,3,1,20,0,4,5,123,0,0,0,0,44,784.8833333,0,0.004761905,360.9533839,0,Dec,8,13,9,20,Returning_Visitor,FALSE
50003,0,18,Mobile Phone,1,14,Debit Card,Male,2,3,Laptop & Accessory,4,Married,9,0,18,1,1,15,123,0,0,0,0,12,366.5,0,0.016666667,287.9537928,0,Dec,2,2,1,2,Returning_Visitor,FALSE
50004,0,5,Computer,3,14,E wallet,Female,2,3,Fashion,2,Single,2,0,14,2,3,7,190,0,0,0,0,7,432,0,0.014285714,270.7846931,0,Nov,2,4,1,8,Returning_Visitor,FALSE
50005,0,2,Computer,1,6,Cash on Delivery,Male,2,3,Laptop & Accessory,3,Divorced,2,0,13,0,1,9,143,5,172.2,0,0,23,792.7222222,0,0.010714286,261.4912857,0,Mar,2,2,1,8,Returning_Visitor,FALSE
50006,0,0,Mobile Phone,1,13,Credit Card,Male,2,4,Laptop & Accessory,3,Divorced,3,0,17,1,1,0,161,1,59.4,0,0,73,891.568795,0,0,258.5498732,0,Sep,2,2,3,2,Returning_Visitor,FALSE
50007,0,30,Mobile Phone,1,15,Credit Card,Female,3,4,Mobile Phone,4,Divorced,5,1,20,1,1,0,133,1,27.5,0,0,114,1403.720238,0,0.000589971,255.5691579,0,Nov,4,5,2,8,Returning_Visitor,FALSE
50008,0,13,Mobile Phone,3,10,E wallet,Male,3,4,Fashion,2,Divorced,8,0,11,2,2,11,209,4,47.5,0,0,16,331.3333333,0,0.010526316,254.6071579,0,May,2,5,1,2,Returning_Visitor,FALSE
50009,0,9,Computer,3,8,E wallet,Female,3,3,Mobile Phone,3,Divorced,7,0,18,1,1,2,122,0,0,0,0,13,303.4,0,0.016666667,239.98,0,May,2,2,5,2,Returning_Visitor,FALSE
50010,0,0,Mobile Phone,1,14,Credit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,24,0,2,2,123,0,0,0,0,28,1107.922619,0.014814815,0.009876543,226.6777017,0,Dec,8,13,9,20,Returning_Visitor,FALSE
